0 OPEN 
12930 RULE 810e9f9121da2b5da54a7b43a369b33_d938797e61c1df5ac7f95dce6359f82_6dca0d061ad727648e3fa81691a062cc_af81d5f749e6612e3b8a34d42d6425f1_6dca0d061ad727648e3fa81691a062cc
12973 NODE af81d5f749e6612e3b8a34d42d6425f1_6dca0d061ad727648e3fa81691a062cc
13056 RULE dbdc342f3d4f7725f91a0be890ef88eb_af81d5f749e6612e3b8a34d42d6425f1_6dca0d061ad727648e3fa81691a062cc_42c2168bf714472a84f86c7b93c0ea7_6dca0d061ad727648e3fa81691a062cc
13095 NODE 42c2168bf714472a84f86c7b93c0ea7_6dca0d061ad727648e3fa81691a062cc
13162 RULE 70cc981e905ae18e1c6074578475b6a5_42c2168bf714472a84f86c7b93c0ea7_6dca0d061ad727648e3fa81691a062cc_aa921e3de72d898c9456858030c706c0_6dca0d061ad727648e3fa81691a062cc
13203 NODE aa921e3de72d898c9456858030c706c0_6dca0d061ad727648e3fa81691a062cc
13275 RULE 433cccb048ba21c7067c9a82da6e3286_aa921e3de72d898c9456858030c706c0_6dca0d061ad727648e3fa81691a062cc_ebaa3c042b4505d132651973766c39ce_6dca0d061ad727648e3fa81691a062cc
13309 NODE ebaa3c042b4505d132651973766c39ce_6dca0d061ad727648e3fa81691a062cc
13386 RULE a53a12e87c6fc763bb9ed8bd1188ff98_ebaa3c042b4505d132651973766c39ce_6dca0d061ad727648e3fa81691a062cc_8aef8d957847b9e1e5707856ede39d39_6dca0d061ad727648e3fa81691a062cc
13420 NODE 8aef8d957847b9e1e5707856ede39d39_6dca0d061ad727648e3fa81691a062cc
13488 RULE d820eb40bb79466f33bf732077f800f2_8aef8d957847b9e1e5707856ede39d39_6dca0d061ad727648e3fa81691a062cc_e5eb7395175fff28d7631f9e1a93a362_6dca0d061ad727648e3fa81691a062cc
13522 NODE e5eb7395175fff28d7631f9e1a93a362_6dca0d061ad727648e3fa81691a062cc
13593 RULE d0ab7024fc8aeef39a9a6d87bc3006c1_e5eb7395175fff28d7631f9e1a93a362_6dca0d061ad727648e3fa81691a062cc_933794dc3870c7130b2a66fb1fa7877e_6dca0d061ad727648e3fa81691a062cc
13629 NODE 933794dc3870c7130b2a66fb1fa7877e_6dca0d061ad727648e3fa81691a062cc
13716 RULE cea77a2f7339b0ebc29955a3edd3ade3_933794dc3870c7130b2a66fb1fa7877e_6dca0d061ad727648e3fa81691a062cc_4dd3c35f3b6e003fe78bd53ad5089db3_6dca0d061ad727648e3fa81691a062cc
13750 NODE 4dd3c35f3b6e003fe78bd53ad5089db3_6dca0d061ad727648e3fa81691a062cc
